0807
INFO:root:Epoch[13] Batch [560]	Speed: 679.08 samples/sec	acc=0.492969
INFO:root:Epoch[13] Batch [580]	Speed: 690.61 samples/sec	acc=0.496745
INFO:root:Epoch[13] Batch [600]	Speed: 672.42 samples/sec	acc=0.493229
INFO:root:Epoch[13] Batch [620]	Speed: 670.47 samples/sec	acc=0.511719
INFO:root:Epoch[13] Batch [640]	Speed: 672.70 samples/sec	acc=0.487240
INFO:root:Epoch[13] Batch [660]	Speed: 678.18 samples/sec	acc=0.506771
INFO:root:Epoch[13] Batch [680]	Speed: 672.84 samples/sec	acc=0.492708
INFO:root:Epoch[13] Batch [700]	Speed: 678.63 samples/sec	acc=0.499219
INFO:root:Epoch[13] Batch [720]	Speed: 682.20 samples/sec	acc=0.497656
INFO:root:Epoch[13] Batch [740]	Speed: 680.51 samples/sec	acc=0.506510
INFO:root:Epoch[13] Batch [760]	Speed: 681.46 samples/sec	acc=0.495312
INFO:root:Epoch[13] Batch [780]	Speed: 686.90 samples/sec	acc=0.501432
INFO:root:Epoch[13] Batch [800]	Speed: 671.90 samples/sec	acc=0.503646
INFO:root:Epoch[13] Batch [820]	Speed: 668.29 samples/sec	acc=0.499349
INFO:root:Epoch[13] Batch [840]	Speed: 678.62 samples/sec	acc=0.489063
INFO:root:Epoch[13] Batch [860]	Speed: 671.62 samples/sec	acc=0.503906
INFO:root:Epoch[13] Batch [880]	Speed: 671.73 samples/sec	acc=0.491146
INFO:root:Epoch[13] Batch [900]	Speed: 678.43 samples/sec	acc=0.497005
INFO:root:Epoch[13] Batch [920]	Speed: 679.82 samples/sec	acc=0.494531
INFO:root:Epoch[13] Batch [940]	Speed: 680.60 samples/sec	acc=0.507422
INFO:root:Epoch[13] Batch [960]	Speed: 679.84 samples/sec	acc=0.485156
INFO:root:Epoch[13] Batch [980]	Speed: 684.34 samples/sec	acc=0.495443
lr-batch-epoch: 0.001 988 13
saving 19
INFO:root:Saved checkpoint to "/data/xinguanxi/modify_insightface_relu/models/cosface-relu/car-reid-0019.params"
[38000]Accuracy-Highest: 0.00000
INFO:root:Epoch[13] Batch [1000]	Speed: 604.84 samples/sec	acc=0.495182
INFO:root:Epoch[13] Batch [1020]	Speed: 682.37 samples/sec	acc=0.488542
INFO:root:Epoch[13] Batch [1040]	Speed: 679.42 samples/sec	acc=0.498698
INFO:root:Epoch[13] Batch [1060]	Speed: 671.67 samples/sec	acc=0.496615
INFO:root:Epoch[13] Batch [1080]	Speed: 680.02 samples/sec	acc=0.498828
INFO:root:Epoch[13] Batch [1100]	Speed: 684.61 samples/sec	acc=0.492057
INFO:root:Epoch[13] Batch [1120]	Speed: 674.03 samples/sec	acc=0.493880
INFO:root:Epoch[13] Batch [1140]	Speed: 686.27 samples/sec	acc=0.493099
INFO:root:Epoch[13] Batch [1160]	Speed: 665.67 samples/sec	acc=0.497005
INFO:root:Epoch[13] Batch [1180]	Speed: 678.09 samples/sec	acc=0.495443
INFO:root:Epoch[13] Batch [1200]	Speed: 675.17 samples/sec	acc=0.499609
INFO:root:Epoch[13] Batch [1220]	Speed: 673.93 samples/sec	acc=0.491797
INFO:root:Epoch[13] Batch [1240]	Speed: 682.98 samples/sec	acc=0.487760
INFO:root:Epoch[13] Batch [1260]	Speed: 688.33 samples/sec	acc=0.484766
INFO:root:Epoch[13] Batch [1280]	Speed: 681.55 samples/sec	acc=0.500000
INFO:root:Epoch[13] Batch [1300]	Speed: 688.24 samples/sec	acc=0.492578
INFO:root:Epoch[13] Batch [1320]	Speed: 669.82 samples/sec	acc=0.490104
INFO:root:Epoch[13] Batch [1340]	Speed: 680.23 samples/sec	acc=0.491797
INFO:root:Epoch[13] Batch [1360]	Speed: 680.24 samples/sec	acc=0.487240
INFO:root:Epoch[13] Batch [1380]	Speed: 680.49 samples/sec	acc=0.490755
INFO:root:Epoch[13] Batch [1400]	Speed: 683.34 samples/sec	acc=0.486979
INFO:root:Epoch[13] Batch [1420]	Speed: 679.48 samples/sec	acc=0.487891
INFO:root:Epoch[13] Batch [1440]	Speed: 678.54 samples/sec	acc=0.494010
INFO:root:Epoch[13] Batch [1460]	Speed: 681.12 samples/sec	acc=0.491797
INFO:root:Epoch[13] Batch [1480]	Speed: 674.84 samples/sec	acc=0.490755
INFO:root:Epoch[13] Batch [1500]	Speed: 671.61 samples/sec	acc=0.497526
INFO:root:Epoch[13] Batch [1520]	Speed: 683.20 samples/sec	acc=0.497656
INFO:root:Epoch[13] Batch [1540]	Speed: 680.92 samples/sec	acc=0.491536
INFO:root:Epoch[13] Batch [1560]	Speed: 677.37 samples/sec	acc=0.491406
INFO:root:Epoch[13] Batch [1580]	Speed: 686.40 samples/sec	acc=0.476432
INFO:root:Epoch[13] Batch [1600]	Speed: 674.34 samples/sec	acc=0.494271
INFO:root:Epoch[13] Batch [1620]	Speed: 674.44 samples/sec	acc=0.496745
INFO:root:Epoch[13] Batch [1640]	Speed: 669.50 samples/sec	acc=0.484505
INFO:root:Epoch[13] Batch [1660]	Speed: 681.00 samples/sec	acc=0.483984
INFO:root:Epoch[13] Batch [1680]	Speed: 671.92 samples/sec	acc=0.496745
INFO:root:Epoch[13] Batch [1700]	Speed: 678.45 samples/sec	acc=0.482422
INFO:root:Epoch[13] Batch [1720]	Speed: 682.80 samples/sec	acc=0.487109
